id,ancestor_list,origin_time,src,src_args,num_units,total_units,length,merit,gest_time,fitness,gen_born,update_born,update_deactivated,depth,hw_type,inst_set,sequence,cells,gest_offset,lineage
36206807,[36191622],199981,div:int,(none),1,1,100,0,0,0,32099,199981,-1,4843,0,heads_default,AyjwjagcicslpogyaybaueBenzpkvxlsbparawlkndtbyBjpayyecuAicycqbAuyzyvdzcyiAqAysvlcktoeyupzvvvvvfcxvvga,['1630'],['623'],['0']
36203794,[36182136],199965,div:int,(none),1,1,102,188,218,0.862385,32069,199965,-1,4830,0,heads_default,gcxwjaAergctjkalrBjjmleqyczjatstdxpwypqoaBzmpayxecuhpcycjBuylqsjcfznjtancsnAmpapqnkuzvvvvvfcxvvgaaxwja,['1658'],['190'],['0']
36205749,[36204588],199976,div:int,(none),1,1,97,0,0,0,32071,199976,-1,4831,0,heads_default,jrBrjfleqyvzjatstdqpwypeoaBzmpaymecuhpcycjbuylqsjcfznjtadczvAmebpqnkuzvvvvvfcxvvgagcxwjaAergccbka,['1717'],['799'],['0']
36207934,[36191740],199987,div:int,(none),1,1,101,200,200,1,32095,199987,-1,4843,0,heads_default,jijwjagcnlippayBzayzAhiuAiyzljpmmqyycxxBiyzpqBapalyecujiiycvxuyzvvtrbpnjqvjanfbrbzsbovuuzvvvvvfcxvvga,['1723'],['87'],['0']
36208785,[36207425],199991,div:int,(none),1,1,107,0,0,0,32099,199991,-1,4840,0,heads_default,fBswjagcndilpeouaczjArmnAwdrbjpmjupabbxxkyztqBapaqyectdtcycvccuyzcvbxbufkqvlmwvsuyxuebnBzvvvvvfcxvvgafBswja,['1751'],['109'],['0']
36201586,[36198848],199954,div:int,(none),1,2,100,97,251,0.386454,32069,199954,-1,4846,0,heads_default,ayawjagcltwAApudajfszxkmzBmkbbpbpqbacjfcnrzsmBpaywcubicyBvoAuyibBddxbjfjoadlqvkkdyrtpuzvvvmevfcxvvga,['1757'],['250'],['0']
36208739,[36207658],199991,div:int,(none),1,1,105,0,0,0,32095,199991,-1,4837,0,heads_default,puqwjagcnalloayzfyzriotwyspjnzmwazcaxdlyzpqBapalyecubddyqvduykAzqrbyfkqvkqApcrwzhsmbuxzvvvvvfcxvvgapujwja,['1837'],['189'],['0']
36207589,[36206357],199985,div:int,(none),1,1,112,210,282.5,0.743552,32093,199985,-1,4846,0,heads_default,wjagcnapBawjagcnailpeouaccArdnAmderdspmjupawbkxnyztqBapaqyecuiucycvcxuyzcvjxbuokqvqmwvruyxuevbfBzBvvvvfcxvvgapBa,['1885'],['5'],['0']
36206393,[36205093],199979,div:int,(none),1,1,132,0,0,0,32070,199979,-1,4868,0,heads_default,iiiojagcfexjstzhafcjwjagcijrtepavbcBwnytxpmwsjolAaypbxzozupawseyecuxwccyccjuyzldcurrotnqxkqpBrombqrybzvvvvvfcxvvgaAiiotaiiatjaiiioja,['1905'],['223'],['0']
36209084,[36204579],199993,div:int,(none),1,1,107,0,0,0,32101,199993,-1,4847,0,heads_default,AyjwjafcicslpogcaybgueBenzpkvxlsbparaalkpdtrbyBjpayyecuAicycvbAuyzyvdzcyiAqAysvlckooeyupzvvvvvfcxvvgaAyjwja,['1920'],['275'],['0']
